accuracy
9.794921875000000000e-01
9.892578125000000000e-01
6.875000000000000000e-01
6.904296875000000000e-01
7.548828125000000000e-01
8.417968750000000000e-01
6.845703125000000000e-01
7.675781250000000000e-01
6.894531250000000000e-01
9.257812500000000000e-01
7.216796875000000000e-01
9.990234375000000000e-01
6.142578125000000000e-01
7.617187500000000000e-01
7.626953125000000000e-01
7.041015625000000000e-01
7.470703125000000000e-01
7.099609375000000000e-01
6.445312500000000000e-01
9.287109375000000000e-01
6.611328125000000000e-01
7.519531250000000000e-01
7.460937500000000000e-01
9.687500000000000000e-01
7.773437500000000000e-01
7.353515625000000000e-01
6.748046875000000000e-01
8.095703125000000000e-01
9.277343750000000000e-01
8.066406250000000000e-01
9.345703125000000000e-01
6.376953125000000000e-01
