accuracy
5.097656250000000000e-01
5.019531250000000000e-01
4.882812500000000000e-01
4.980468750000000000e-01
4.882812500000000000e-01
4.941406250000000000e-01
5.214843750000000000e-01
4.902343750000000000e-01
4.921875000000000000e-01
4.707031250000000000e-01
4.990234375000000000e-01
4.707031250000000000e-01
5.351562500000000000e-01
4.941406250000000000e-01
4.853515625000000000e-01
5.068359375000000000e-01
4.697265625000000000e-01
4.990234375000000000e-01
4.667968750000000000e-01
5.087890625000000000e-01
4.902343750000000000e-01
4.951171875000000000e-01
5.107421875000000000e-01
5.156250000000000000e-01
4.931640625000000000e-01
5.205078125000000000e-01
5.273437500000000000e-01
5.009765625000000000e-01
4.794921875000000000e-01
4.970703125000000000e-01
5.107421875000000000e-01
5.019531250000000000e-01
