epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.03579142689704895,0.500272810459137,0.00039999998989515007,0.7207663655281067,0.5000579357147217,0.49630290269851685,0.012533333152532578,0.5010289549827576,0.6943650841712952,0.500554084777832,0.4315674602985382
1,0.032588571310043335,0.5008538365364075,0.0007999999797903001,0.6962016224861145,0.5005316138267517,0.4898877441883087,0.03810666501522064,0.5011438727378845,0.6947586536407471,0.5004212260246277,0.453662246465683
2,0.024550000205636024,0.5008737444877625,0.0012000000569969416,0.6944717764854431,0.5005064606666565,0.4865707755088806,0.005146666895598173,0.5011054873466492,0.6971890926361084,0.500632107257843,0.49126937985420227
3,0.02694571390748024,0.5013648867607117,0.0015999999595806003,0.6938303112983704,0.5010652542114258,0.48731011152267456,0.013166666962206364,0.5022122263908386,0.6932471990585327,0.5016928911209106,0.4443175792694092
4,0.026748571544885635,0.5027498006820679,0.0020000000949949026,0.693204939365387,0.5020132064819336,0.47882357239723206,0.07788000255823135,0.5033835768699646,0.6931688785552979,0.5024511218070984,0.4987964928150177
5,0.021312857046723366,0.5036672353744507,0.0020000000949949026,0.6931331157684326,0.5027746558189392,0.478880375623703,0.015060000121593475,0.5004512071609497,0.6951989531517029,0.4999454617500305,0.5007407665252686
6,0.028349999338388443,0.5035151839256287,0.001999453641474247,0.6931381821632385,0.5026265978813171,0.48213207721710205,0.00013333333481568843,0.5023576021194458,0.6932166218757629,0.5016470551490784,0.4274432957172394
7,0.03383428603410721,0.5041072368621826,0.0019978147465735674,0.6931325793266296,0.5030680298805237,0.4840908348560333,0.015293333679437637,0.5015382170677185,0.693281888961792,0.5015345811843872,0.4254852533340454
8,0.02947714366018772,0.5050734281539917,0.001995085272938013,0.6931247115135193,0.5036770105361938,0.48420727252960205,0.052346665412187576,0.5016151666641235,0.6932275295257568,0.5005308389663696,0.49115225672721863
9,0.03142714127898216,0.5063996315002441,0.001991268480196595,0.693101167678833,0.5046555399894714,0.49043580889701843,0.013293333351612091,0.5040225982666016,0.6932260394096375,0.5027056336402893,0.48920708894729614
10,0.02923142910003662,0.5078220963478088,0.001986368093639612,0.6930607557296753,0.5055873394012451,0.48966503143310547,0.03697333484888077,0.5047019124031067,0.6933057904243469,0.5032728314399719,0.4992467164993286
11,0.029529999941587448,0.5093256235122681,0.001980389701202512,0.69301438331604,0.5065975189208984,0.4925251305103302,0.005646666511893272,0.507938802242279,0.69306880235672,0.505562424659729,0.4877876341342926
12,0.027148570865392685,0.5114511251449585,0.0019733398221433163,0.6929351091384888,0.507960319519043,0.4964054226875305,0.018426666036248207,0.5082517266273499,0.6931166052818298,0.5056821703910828,0.45912498235702515
13,0.033398572355508804,0.5130619406700134,0.00196522637270391,0.692865252494812,0.5090769529342651,0.49927955865859985,0.12408000230789185,0.5075031518936157,0.6932233572006226,0.5044007897377014,0.5496877431869507
14,0.03215714171528816,0.5151401162147522,0.001956057734787464,0.6927646398544312,0.5105298161506653,0.5035566091537476,0.039633333683013916,0.5087109804153442,0.6931716799736023,0.5060034394264221,0.48822370171546936
15,0.03254571557044983,0.5172962546348572,0.0019458443857729435,0.6926418542861938,0.5119326710700989,0.5052605867385864,0.04897333309054375,0.5153456926345825,0.6927255988121033,0.5102503895759583,0.5096248388290405
16,0.030167141929268837,0.5196176767349243,0.0019345971522852778,0.692497730255127,0.5136041045188904,0.5079714059829712,0.020339999347925186,0.5134451985359192,0.6930044293403625,0.5090039968490601,0.518683910369873
17,0.031544286757707596,0.5221422910690308,0.0019223286071792245,0.6923151016235352,0.515285074710846,0.5118181109428406,0.025606665760278702,0.5098583698272705,0.6934478282928467,0.5053178668022156,0.5589948892593384
18,0.028922857716679573,0.5246734023094177,0.0019090520218014717,0.6921147108078003,0.5167964696884155,0.5162547826766968,0.033980000764131546,0.5202164053916931,0.692452073097229,0.5130684971809387,0.5362722873687744
19,0.030741428956389427,0.5275612473487854,0.0018947819480672479,0.6918666362762451,0.5189171433448792,0.5187985897064209,0.021953333169221878,0.5199052095413208,0.6924920678138733,0.512722373008728,0.529541015625
20,0.0350542850792408,0.5303084850311279,0.0018795339856296778,0.6916115880012512,0.5208119750022888,0.5211806893348694,0.012493333779275417,0.52850741147995,0.6917707920074463,0.5217005610466003,0.4629531502723694
21,0.03580428659915924,0.5329867005348206,0.0018633248982951045,0.6913192868232727,0.5226674675941467,0.522339940071106,0.032340001314878464,0.5261896848678589,0.6919804215431213,0.516887903213501,0.5373186469078064
22,0.03579285740852356,0.5357591509819031,0.001846172148361802,0.6910046339035034,0.5245422720909119,0.523501455783844,0.05492666736245155,0.5335767865180969,0.6912617087364197,0.5228080153465271,0.5251738429069519
23,0.037310000509023666,0.5384640097618103,0.0018280948279425502,0.6906774044036865,0.5265597701072693,0.5256289839744568,0.02836666628718376,0.5286603569984436,0.6917657256126404,0.5202813744544983,0.5052513480186462
24,0.03918571397662163,0.5411908030509949,0.0018091124948114157,0.6903179287910461,0.5284296870231628,0.5268778204917908,0.07349333167076111,0.521054744720459,0.6928630471229553,0.5135429501533508,0.5274729132652283
25,0.03911000117659569,0.5439934134483337,0.0017892459873110056,0.6899298429489136,0.5304000973701477,0.5289592742919922,0.03522666543722153,0.5296778082847595,0.6916426420211792,0.5198068618774414,0.5227696895599365
26,0.03840571269392967,0.5473740100860596,0.0017685169586911798,0.6894152760505676,0.5326496362686157,0.5321047902107239,0.03696666657924652,0.5418844819068909,0.6901776790618896,0.5282000303268433,0.534190833568573
