epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.030872857198119164,0.5089895725250244,0.00039999998989515007,0.7215492725372314,0.5073338150978088,0.5058073997497559,0.025013333186507225,0.5136258006095886,0.700579822063446,0.5093355774879456,0.5148912072181702
1,0.03184857219457626,0.5505794286727905,0.0007999999797903001,0.6906748414039612,0.5353299975395203,0.5340360403060913,3.9999998989515007e-05,0.5236934423446655,0.7332545518875122,0.513671338558197,0.5318288207054138
2,0.041099999099969864,0.6404978036880493,0.0012000000569969416,0.6611075401306152,0.5987216830253601,0.5978995561599731,0.002646666718646884,0.6069666743278503,0.7062287926673889,0.5857601761817932,0.509249210357666
3,0.05453571304678917,0.7796308994293213,0.0015999999595806003,0.5627070665359497,0.7061134576797485,0.7056869864463806,0.029766665771603584,0.747207760810852,0.6928451061248779,0.6482707262039185,0.7665874361991882
4,0.06586000323295593,0.8964045643806458,0.0020000000949949026,0.4063349962234497,0.8146862387657166,0.8143086433410645,0.03378000110387802,0.8742501139640808,0.5037004947662354,0.7606578469276428,0.8387927412986755
5,0.09215285629034042,0.9577795267105103,0.0020000000949949026,0.26324617862701416,0.8901622891426086,0.8900209665298462,0.16821333765983582,0.9044010639190674,0.5051342248916626,0.8005016446113586,0.8603830933570862
6,0.1717642843723297,0.9798979759216309,0.001999453641474247,0.18080788850784302,0.927790105342865,0.9277457594871521,0.12996000051498413,0.9415678381919861,0.36772045493125916,0.8732922077178955,0.8660067319869995
7,0.28090715408325195,0.9884570240974426,0.0019978147465735674,0.1356218308210373,0.9470369815826416,0.947145938873291,0.4041000008583069,0.9572657942771912,0.31798556447029114,0.9067757725715637,0.867093563079834
8,0.36880427598953247,0.9923412203788757,0.001995085272938013,0.10900940001010895,0.958065390586853,0.9581092000007629,0.39119333028793335,0.9668474197387695,0.2740752398967743,0.9086791276931763,0.9021106362342834
9,0.4440857172012329,0.994469165802002,0.001991268480196595,0.09132381528615952,0.9652280807495117,0.9653208255767822,0.643506646156311,0.9677894115447998,0.2799716293811798,0.8995245695114136,0.9171085357666016
10,0.502631425857544,0.995720624923706,0.001986368093639612,0.07919967174530029,0.970061182975769,0.9700909852981567,0.2830199897289276,0.9778332114219666,0.21794891357421875,0.9413442611694336,0.9111489057540894
11,0.5495171546936035,0.9965707659721375,0.001980389701202512,0.06983723491430283,0.9738207459449768,0.9738303422927856,0.39557334780693054,0.9816544651985168,0.19616557657718658,0.9261899590492249,0.941958487033844
12,0.5897157192230225,0.9971761107444763,0.0019733398221433163,0.06234651058912277,0.9767261743545532,0.9767749905586243,0.7965866923332214,0.984399139881134,0.1815238744020462,0.9337678551673889,0.955122172832489
13,0.624638557434082,0.9976154565811157,0.00196522637270391,0.056337080895900726,0.979089081287384,0.9791809320449829,0.5590333342552185,0.9830654263496399,0.1938299536705017,0.9560844898223877,0.916074275970459
14,0.6519700288772583,0.9979645609855652,0.001956057734787464,0.051304496824741364,0.9810428023338318,0.9811084270477295,0.4642600119113922,0.9799904227256775,0.2117457240819931,0.9466304183006287,0.9200116991996765
15,0.6778028607368469,0.9982147812843323,0.0019458443857729435,0.04720829799771309,0.9826322197914124,0.9826728105545044,0.8831066489219666,0.990156888961792,0.13824966549873352,0.9410765767097473,0.9711138606071472
16,0.7001000046730042,0.99842768907547,0.0019345971522852778,0.04349597916007042,0.9840676188468933,0.9841364026069641,0.6315733194351196,0.9869251847267151,0.16069984436035156,0.9549416899681091,0.9405677914619446
17,0.7186971306800842,0.9985839128494263,0.0019223286071792245,0.04050567373633385,0.985195517539978,0.9852891564369202,0.5801200270652771,0.9912001490592957,0.12338915467262268,0.9652564525604248,0.9513944387435913
18,0.7385514378547668,0.9987484216690063,0.0019090520218014717,0.03751087933778763,0.9863353371620178,0.9863796234130859,0.7223799824714661,0.9922602772712708,0.11649025976657867,0.9519619345664978,0.9714027643203735
19,0.7528442740440369,0.9988638162612915,0.0018947819480672479,0.035170331597328186,0.9872402548789978,0.9872884750366211,0.8430533409118652,0.9938639402389526,0.09741653501987457,0.9667460918426514,0.970145046710968
20,0.7702299952507019,0.9989578723907471,0.0018795339856296778,0.033015478402376175,0.9880670309066772,0.9881536364555359,0.8602133393287659,0.9921206831932068,0.11812946945428848,0.9552451372146606,0.9740465879440308
21,0.7853928804397583,0.9990503191947937,0.0018633248982951045,0.03096747398376465,0.9888246059417725,0.9889136552810669,0.44945332407951355,0.9933363795280457,0.10837265849113464,0.984650731086731,0.946652889251709
22,0.794227123260498,0.9991297125816345,0.001846172148361802,0.029155094176530838,0.9895076155662537,0.9895627498626709,0.8651400208473206,0.9909788370132446,0.1275738924741745,0.9741645455360413,0.9462935924530029
23,0.8068985939025879,0.9992004632949829,0.0018280948279425502,0.027407974004745483,0.9901520013809204,0.9902291893959045,0.8132933378219604,0.9926716089248657,0.11009293049573898,0.9643272757530212,0.9696727395057678
